id,text,digitality_sum,obs,overlap,digital,definition_zeroshot,positive,negative
28.0,"The regional taskforce will concentrate on the year ahead and provide specific regional expertise and know-how to develop and implement the REPowerEU action plan to reduce dependency on Russian fossil fuels, fill storage ahead of next winter and further accelerate the decarbonisation of the energy sector. It will support and coordinate implementation of the joint preparedness plans in the region, including international purchase, storage and interconnections – thus contributing to the security of supply in Bulgaria, the region, the energy community and beyond.",0.0,1,False,False,0.8996637463569641,0.7129502296447754,0.2870497405529022
33.0,"It is my pleasure to inform you about our first College meeting, following the summer break.",0.0,1,False,False,0.849397599697113,0.897798478603363,0.10220150649547577
45.0,"The pandemic has only strengthened the case for ambitious strategic choices – such as striking the right balance between autonomy and openness. The EU will not turn inwards, but will reinforce our global standing. Before I conclude, let me highlight another strand of our work – building our foresight capacities across EU institutions and our Member States.",0.0,1,False,False,0.7854505777359009,0.7238743305206299,0.2761256694793701
53.0,"This discussion also included a first factual assessment on cooperation with partner countries on readmission, as it was requested under the revised Visa Code.",0.0,1,False,False,0.8835592865943909,0.616179883480072,0.383820116519928
55.0,"Then, High Representative/ Vice President of the Commission Josep Borrell informed the College about his recent visit to Moscow.",0.0,1,False,False,0.8432376980781555,0.8971706628799438,0.10282932221889496
59.0,I am very glad and happy to present to you the Southern neighbourhood communication we just adopted.,0.0,1,False,False,0.8510710000991821,0.8511339426040649,0.14886604249477386
97.0,"Today, the College decided to send an additional reasoned opinion to Poland regarding the continued functioning of the Disciplinary Chamber of the Supreme Court.",0.0,1,False,False,0.8688753843307495,0.9040454030036926,0.09595455229282379
106.0,Today the college adopted the first Green Paper of this Commission mandate and launches a wide debate and public consultation the challenges and opportunities of Europe's ageing population.,0.0,1,False,False,0.8439311981201172,0.7881077527999878,0.21189220249652863
141.0,"So, with this Green Paper today, we launch a multi-dimensional debate on ageing that will inform our work to come in many different areas. Essentially, in every aspect of our lives, our societies and economies.",0.0,1,False,False,0.8527612090110779,0.5899900197982788,0.4100099503993988
166.0,"And finally Global action. Here the focus is on working together towards a safer, more prosperous and more democratic world. It reaffirms the objective of a geopolitical Commission, reflects aspirations to greater strategic autonomy – which is not contradictory to having a strong transatlantic partnership – while strengthening relation with our key world partner. These are the three objectives: geopolitical commission, aspirations to greater strategic autonomy and strengthening relation with our key world partner.",0.0,1,False,False,0.9468242526054382,0.7629348039627075,0.2370651662349701
172.0,"Following yesterday's political agreement between the Parliament and the Council on the Multiannual Financial Framework (MFF) and on NextGenerationEU (NGEU), President von der Leyen held a fifth videoconference with the President of the European Parliament, David Sassoli, and Chancellor Angela Merkel for the Presidency of the Council of the EU, in the context of a “article 324” meeting.",0.0,1,False,False,0.8526915907859802,0.7962924242019653,0.20370754599571228
178.0,"Today, the President of the European Commission, Ursula von der Leyen, and Italian Prime Minister Giuseppe Conte met by videoconference.",0.0,1,False,False,0.8620408773422241,0.9122444987297058,0.08775550872087479
196.0,"What are the key areas? We have, first, the sustainable transport system. As you see in any investment climate, the first thing is always having the right infrastructure. If you look at the Western Balkans you will see that the major infrastructure is still missing. We need to link the region with Europe much better, but also we need to link the region within. So, we decided to provide plans to link up all the capitals with road and rail. And these connections should serve to accelerate the economic development through trade, but also through attracting investment into the region. Of course, this transport corridors will have to be done in accordance with our standards and in line with the TEN-T network, but this can boost economic growth immediately.",0.0,1,False,False,0.6953967809677124,0.6839911937713623,0.3160087764263153
213.0,Factsheet – The EU accession process of the Western Balkans,0.0,1,False,False,0.8636900782585144,0.9037579298019409,0.09624208509922028
214.0,Factsheet - EU Engagement in the Western Balkans,0.0,1,False,False,0.8738178610801697,0.905775249004364,0.09422475099563599
215.0,"Today, President von der Leyen discussed via videoconference with the President of the European Parliament, David Sassoli, and Chancellor Angela Merkel for the Presidency of the Council of the EU the next steps regarding the adoption of the next Multiannual Financial Framework and the NextGenerationEU recovery plan.",1.0,1,False,True,0.8988113403320312,0.884928822517395,0.11507121473550797
218.0,The three Presidents reaffirmed their strong commitment to reaching an agreement swiftly. They agreed to stay in close contact throughout the coming weeks and months.,0.0,1,False,False,0.8773847222328186,0.8336236476898193,0.16637633740901947
